dataset,accuracy
abstract_algebr,0.25
anatom,0.289
astronom,0.224
business_ethic,0.28
clinical_knowledg,0.238
college_biolog,0.215
college_chemistr,0.28
college_computer_scienc,0.19
college_mathematic,0.25
college_medicin,0.283
college_physic,0.206
computer_securit,0.24
conceptual_physic,0.217
econometric,0.272
electrical_engineerin,0.269
elementary_mathematic,0.214
formal_logi,0.23
global_fact,0.17
high_school_biolog,0.281
high_school_chemistr,0.246
high_school_computer_scienc,0.2
high_school_european_histor,0.279
high_school_geograph,0.212
high_school_government_and_politic,0.244
high_school_macroeconomic,0.246
high_school_mathematic,0.211
high_school_microeconomic,0.235
high_school_physic,0.238
avg_value,0.2396071428571429
